delay	freq	condition	key_resp.rt			delay	freq	condition	key_resp.rt
0.7	1000	exp	0.5387763			0.1	400	unexp	0.3072848
0.4	1000	exp	0.2652533			0.7	400	unexp	0.2862054
0.1	1000	exp	0.6653229			0.4	400	unexp	1.053977
0.4	1000	exp	0.2527189			0.7	400	unexp	0.4005367
0.1	1000	exp	0.9199036			0.4	400	unexp	0.3377384
0.4	1000	exp	0.2059252			0.1	400	unexp	0.2170618
0.1	1000	exp	0.2361353			0.4	400	unexp	0.2232583
0.7	1000	exp	0.9298192			0.7	400	unexp	0.4682219
0.7	1000	exp	0.3639228			0.1	400	unexp	0.2309931
0.7	1000	exp	0.2386533			0.7	400	unexp	0.1359114
0.1	1000	exp	0.4328619			0.4	400	unexp	0.2716941
0.1	1000	exp	0.3440654			0.1	400	unexp	0.0884672
0.1	1000	exp	1.0871632			0.1	400	unexp	0.2680171
0.4	1000	exp	0.2605192			0.7	400	unexp	0.298388
0.7	1000	exp	0.7541027			0.4	400	unexp	0.4085408
0.4	1000	exp	0.147402			0.4	400	unexp	0.9687221
0.7	1000	exp	0.4916416			0.7	400	unexp	0.9955308
0.4	1000	exp	1.0712526			0.1	400	unexp	0.2513766
0.7	1000	exp	0.4891738			0.4	400	unexp	0.4226252
0.1	1000	exp	0.9506932			0.7	400	unexp	0.2267475
0.1	1000	exp	1.0592631			0.1	400	unexp	0.1548256
0.1	1000	exp	0.5302636			0.4	400	unexp	0.4140704
0.4	1000	exp	0.4531885			0.1	400	unexp	0.5980083
0.7	1000	exp	0.344107			0.7	400	unexp	0.181667
0.4	1000	exp	0.2728214			0.1	400	unexp	0.5098349
0.7	1000	exp	0.3569929			0.4	400	unexp	0.1970037
0.4	1000	exp	0.4317243			0.7	400	unexp	0.2362297
0.7	1000	exp	0.2448919			0.4	400	unexp	0.3081368
0.1	1000	exp	0.4156			0.7	400	unexp	0.6845157
0.4	1000	exp	0.5807012			0.1	400	unexp	0.2322443
0.1	1000	exp	0.546621			0.4	400	unexp	0.3146222
0.4	1000	exp	0.441151			0.7	400	unexp	0.7812655
0.4	1000	exp	0.4879824			0.1	400	unexp	0.2761464
0.7	1000	exp	0.9230792			0.4	400	unexp	0.3256374
0.7	1000	exp	1.704766			0.7	400	unexp	0.6021731
0.1	1000	exp	0.6299862			0.1	400	unexp	0.3233529
0.1	1000	exp	0.152501			0.7	400	unexp	0.2549916
0.7	1000	exp	0.2227574			0.1	400	unexp	0.5076347
0.1	1000	exp	1.263592			0.4	400	unexp	0.5193928
0.4	1000	exp	0.2507108			0.1	400	unexp	0.3112223
0.4	1000	exp	0.5228322			0.4	400	unexp	0.3285967
0.4	1000	exp	0.2469396			0.7	400	unexp	0.39816
0.7	1000	exp	0.4539587			0.1	400	unexp	0.3399454
0.7	1000	exp	0.2529551			0.7	400	unexp	0.4114241
0.1	1000	exp	0.4847831			0.4	400	unexp	0.5486161
0.1	1000	exp	0.0577111			0.7	400	unexp	0.2857308
0.7	1000	exp	0.2567564			0.1	400	unexp	0.3010835
0.7	1000	exp	0.2555159			0.4	400	unexp	0.9475967
0.4	1000	exp	0.3030966			0.7	400	unexp	0.335365
0.1	1000	exp	0.4273778			0.1	400	unexp	0.2800842
0.7	1000	exp	0.8500821			0.4	400	unexp	1.0368941
0.4	1000	exp	0.2117314			0.7	400	unexp	0.2885759
0.4	1000	exp	0.1216646			0.4	400	unexp	0.281897
0.1	1000	exp	0.8856035			0.1	400	unexp	0.3244481
0.4	1000	exp	0.5103179			0.4	400	unexp	0.4163226
0.7	1000	exp	0.2365117			0.1	400	unexp	0.3831717
0.1	1000	exp	0.4075034			0.7	400	unexp	0.2629537
0.1	1000	exp	0.2594617			0.4	400	unexp	0.681897
0.1	1000	exp	0.1444272			0.7	400	unexp	0.3398033
0.7	1000	exp	0.3053832			0.1	400	unexp	0.3439449
0.4	1000	exp	0.2709296			0.4	400	unexp	0.3007075
0.4	1000	exp	1.7433947			0.7	400	unexp	0.1560797
0.7	1000	exp	0.2504052			0.1	400	unexp	0.2150282
0.7	1000	exp	0.504013			0.1	400	unexp	0.738033
0.7	1000	exp	0.5519411			0.4	400	unexp	0.2414248
0.1	1000	exp	0.0729519			0.7	400	unexp	0.2564365
0.4	1000	exp	0.3483026			0.1	400	unexp	0.2699383
0.4	1000	exp	0.2796688			0.7	400	unexp	0.3595696
0.1	1000	exp	0.2790217			0.4	400	unexp	0.5080729
0.1	1000	exp	0.3109013			0.7	400	unexp	0.2674819
0.4	1000	exp	0.4142734			0.1	400	unexp	0.23856
0.7	1000	exp	0.285889			0.4	400	unexp	0.2678917
0.7	1000	exp	0.2664986			0.4	400	unexp	0.2811167
0.1	1000	exp	0.2806353			0.1	400	unexp	0.2359184
0.4	1000	exp	0.2560496			0.7	400	unexp	0.2856189
0.1	1000	exp	0.2354014			0.1	400	unexp	0.5098496
0.7	1000	exp	0.251355			0.7	400	unexp	0.4443411
0.4	1000	exp	0.2702422			0.4	400	unexp	1.9192649
0.4	1000	exp	0.3418195			0.7	400	unexp	0.3531393
0.1	1000	exp	0.3232286			0.1	400	unexp	0.5699561
0.7	1000	exp	0.2746325			0.4	400	unexp	0.9540258
0.1	1000	exp	0.3152693			0.7	400	unexp	0.2524577
0.7	1000	exp	0.2810698			0.4	400	unexp	0.2209382
0.4	1000	exp	0.8854223			0.1	400	unexp	0.2708029
0.7	1000	exp	0.3673231			0.4	400	unexp	1.1680193
0.4	1000	exp	0.5029181			0.7	400	unexp	0.2436641
0.1	1000	exp	0.979265			0.1	400	unexp	0.8466471
0.1	1000	exp	0.3547146			0.7	400	unexp	0.3205699
0.7	1000	exp	0.3813606			0.4	400	unexp	1.0735208
0.4	1000	exp	0.364091			0.1	400	unexp	0.9342052
0.1	1000	exp	0.5511283			0.4	400	unexp	0.2951239
0.1	1000	exp	0.3050148			0.1	400	unexp	0.5339445
0.4	1000	exp	0.5622601			0.7	400	unexp	0.2986801
0.7	1000	exp	0.3556433			0.4	400	unexp	0.2543055
0.7	1000	exp	0.5998966			0.7	400	unexp	0.1991116
0.4	1000	exp	0.5977362			0.1	400	unexp	0.3426072
0.4	1000	exp	0.5276162			0.4	400	unexp	0.2452547
0.1	1000	exp	0.2877647			0.7	400	unexp	0.7597466
0.7	1000	exp	0.6724176			0.1	400	unexp	0.0955279
0.1	1000	exp	0.7902569			0.7	400	unexp	0.6301687
0.1	1000	exp	0.2610174			0.1	400	unexp	0.5019707
0.4	1000	exp	0.2810673			0.4	400	unexp	0.2956151
0.7	1000	exp	0.2400103						
0.4	1000	exp	0.1390254					Mean	0.424373734
0.1	1000	exp	0.3299958						
0.7	1000	exp	0.5556758						
0.7	1000	exp	0.3376887						
0.4	1000	exp	0.2701997						
0.4	1000	exp	0.3213501						
0.7	1000	exp	0.3563006						
0.1	1000	exp	0.6307576						
0.7	1000	exp	0.2784949						
0.1	1000	exp	0.3491319				Diff	0.008895317	
0.7	1000	exp	0.231004						
0.1	1000	exp	0.794603						
0.4	1000	exp	0.3325101						
0.4	1000	exp	0.4025266						
0.1	1000	exp	0.2700538						
0.4	1000	exp	0.674423						
0.7	1000	exp	0.1358535						
0.7	1000	exp	0.7568519						
0.1	1000	exp	0.3119242						
0.1	1000	exp	0.5048935						
0.7	1000	exp	0.641755						
0.4	1000	exp	0.7925652						
0.4	1000	exp	0.4872498						
0.4	1000	exp	0.2653798						
0.7	1000	exp	0.4755768						
0.4	1000	exp	0.1439955						
0.7	1000	exp	0.3053934						
0.4	1000	exp	0.5848303						
0.7	1000	exp	0.2943016						
0.1	1000	exp	1.7404372						
0.1	1000	exp	0.3086006						
0.1	1000	exp	0.2323615						
0.4	1000	exp	0.2798095						
0.7	1000	exp	0.1865979						
0.1	1000	exp	0.243106						
0.1	1000	exp	0.3091215						
0.7	1000	exp	0.2430166						
0.1	1000	exp	0.3215706						
0.4	1000	exp	0.2977508						
0.7	1000	exp	0.2837971						
0.4	1000	exp	0.6767965						
0.7	1000	exp	0.5030686						
0.1	1000	exp	0.494392						
0.7	1000	exp	0.3636092						
0.4	1000	exp	0.3827648						
0.4	1000	exp	1.0401718						
0.1	1000	exp	0.2819265						
0.7	1000	exp	0.7122773						
0.4	1000	exp	0.4339346						
0.1	1000	exp	0.6433555						
0.4	1000	exp	1.4237809						
0.1	1000	exp	0.3270406						
0.4	1000	exp	0.4707189						
0.7	1000	exp	0.4180168						
0.4	1000	exp	0.2611263						
0.1	1000	exp	0.6350452						
0.7	1000	exp	0.3258531						
0.1	1000	exp	0.3753197						
0.7	1000	exp	0.2936964						
0.1	1000	exp	0.6477808						
0.4	1000	exp	0.7829019						
0.4	1000	exp	0.3502678						
0.7	1000	exp	0.2888135						
0.1	1000	exp	0.2048303						
0.7	1000	exp	0.2471555						
0.7	1000	exp	0.2644656						
0.1	1000	exp	0.2351979						
0.4	1000	exp	0.2794056						
0.1	1000	exp	1.9947213						
0.1	1000	exp	0.377299						
0.7	1000	exp	0.3185836						
0.4	1000	exp	0.2977712						
0.1	1000	exp	0.3192462						
0.7	1000	exp	0.2328035						
0.4	1000	exp	0.3289838						
0.7	1000	exp	0.3449826						
0.4	1000	exp	0.2754359						
0.4	1000	exp	0.3271439						
0.7	1000	exp	0.3477588						
0.4	1000	exp	0.9750372						
0.1	1000	exp	0.3896327						
0.1	1000	exp	0.5984472						
0.4	1000	exp	0.4604753						
0.1	1000	exp	0.5699881						
0.7	1000	exp	0.1920522						
0.7	1000	exp	0.2158119						
0.4	1000	exp	0.2823024						
0.7	1000	exp	0.8440546						
0.1	1000	exp	0.2101526						
0.7	1000	exp	0.221382						
0.4	1000	exp	0.0049054						
0.7	1000	exp	0.3207987						
0.4	1000	exp	0.2418994						
0.1	1000	exp	0.2538312						
0.1	1000	exp	1.1045274						
0.1	1000	exp	0.7304835						
0.4	1000	exp	0.3281634						
0.7	1000	exp	0.3628977						
0.1	1000	exp	0.7835872						
0.4	1000	exp	0.3745319						
0.7	1000	exp	0.5111244						
0.1	1000	exp	0.3355641						
0.7	1000	exp	0.30561						
0.4	1000	exp	0.3306278						
0.7	1000	exp	0.4059139						
0.7	1000	exp	0.6217409						
0.1	1000	exp	0.2992207						
0.1	1000	exp	0.7093648						
0.4	1000	exp	0.168589						
0.1	1000	exp	0.2018158						
0.7	1000	exp	0.288796						
0.4	1000	exp	0.2535826						
0.4	1000	exp	0.2568916						
0.7	1000	exp	0.198413						
0.4	1000	exp	0.2804303						
0.7	1000	exp	0.278677						
0.4	1000	exp	0.2129445						
0.1	1000	exp	0.1853803						
0.7	1000	exp	0.304106						
0.1	1000	exp	0.5744678						
0.4	1000	exp	0.4954393						
0.1	1000	exp	0.3316864						
0.4	1000	exp	0.3255002						
0.7	1000	exp	0.5812562						
0.1	1000	exp	0.7621879						
0.4	1000	exp	0.287181						
0.1	1000	exp	0.3168321						
0.7	1000	exp	0.2288838						
0.4	1000	exp	0.3456935						
0.7	1000	exp	0.0421978						
0.1	1000	exp	0.3228798						
0.4	1000	exp	0.2083837						
0.1	1000	exp	0.2439527						
0.7	1000	exp	0.1891948						
0.1	1000	exp	0.6153702						
0.7	1000	exp	0.195545						
0.4	1000	exp	0.2345265						
0.1	1000	exp	0.5365829						
0.7	1000	exp	0.3541921						
0.4	1000	exp	0.226861						
0.7	1000	exp	0.2764196						
0.1	1000	exp	0.1815594						
0.1	1000	exp	1.1056567						
0.7	1000	exp	0.3848954						
0.4	1000	exp	0.2154392						
0.1	1000	exp	0.5513681						
0.7	1000	exp	0.2292847						
0.4	1000	exp	0.4312835						
0.4	1000	exp	0.2504555						
0.1	1000	exp	0.2611617						
0.1	1000	exp	0.6522059						
0.4	1000	exp	0.2484296						
0.4	1000	exp	0.2846339						
0.7	1000	exp	1.3456047						
0.1	1000	exp	0.3481452						
0.4	1000	exp	0.1632632						
0.7	1000	exp	0.5128848						
0.7	1000	exp	1.1947946						
0.7	1000	exp	0.58127						
0.7	1000	exp	0.2717092						
0.7	1000	exp	0.3464863						
0.4	1000	exp	0.2979815						
0.4	1000	exp	0.3090529						
0.1	1000	exp	0.7825676						
0.1	1000	exp	0.3111278						
0.4	1000	exp	0.2534427						
0.1	1000	exp	0.3367737						
0.4	1000	exp	0.4088714						
0.7	1000	exp	0.41838						
0.1	1000	exp	0.4966173						
0.7	1000	exp	0.304986						
0.1	1000	exp	1.5210452						
0.7	1000	exp	0.2846001						
0.1	1000	exp	0.5675688						
0.4	1000	exp	0.2860973						
0.4	1000	exp	0.3431891						
0.1	1000	exp	0.1551642						
0.7	1000	exp	0.2391825						
0.4	1000	exp	0.2172545						
0.7	1000	exp	0.2564349						
0.4	1000	exp	0.2555799						
0.1	1000	exp	0.9072227						
0.7	1000	exp	0.2803907						
0.4	1000	exp	0.2278277						
0.1	1000	exp	0.2265111						
0.1	1000	exp	0.2144988						
0.7	1000	exp	0.8842663						
0.1	1000	exp	0.2592018						
0.4	1000	exp	0.027494						
0.4	1000	exp	0.2278484						
0.4	1000	exp	0.1036663						
0.7	1000	exp	0.0594246						
0.7	1000	exp	0.2157716						
0.1	1000	exp	0.448763						
0.7	1000	exp	0.2567255						
0.1	1000	exp	0.2914154						
0.7	1000	exp	0.5509244						
0.4	1000	exp	1.4233023						
0.1	1000	exp	0.2203861						
0.7	1000	exp	0.1317822						
0.4	1000	exp	1.167484						
0.1	1000	exp	0.2760953						
0.4	1000	exp	0.8875263						
									
		Mean	0.433269051						
